MJD mag magerr band
57400.66302289 14.289 0.06 WISE_W1
57400.72847485 13.164 0.079 WISE_W2
57400.72847485 14.308 0.099 WISE_W1
57400.79405418 14.432 0.064 WISE_W1
57400.79405418 13.481 0.09 WISE_W2
57400.8596335 13.485 0.09 WISE_W2
57400.8596335 14.285 0.058 WISE_W1
57400.99079215 13.423 0.093 WISE_W2
57400.99079215 14.376 0.068 WISE_W1
57401.12182338 14.34 0.069 WISE_W1
57401.12182338 13.547 0.12 WISE_W2
57401.12195075 14.263 0.06 WISE_W1
57401.12195075 13.435 0.088 WISE_W2
57401.51517177 14.246 0.063 WISE_W1
57401.51517177 13.611 0.121 WISE_W2
57401.51529909 13.369 0.088 WISE_W2
57401.51529909 14.281 0.061 WISE_W1
57568.08637622 13.395 0.092 WISE_W2
57568.08637622 14.335 0.063 WISE_W1
57568.21740675 14.257 0.06 WISE_W1
57568.21740675 13.597 0.099 WISE_W2
57568.34843722 14.243 0.068 WISE_W1
57568.34843722 13.399 0.119 WISE_W2
57568.47946785 14.405 0.064 WISE_W1
57568.47946785 13.562 0.1 WISE_W2
57568.54491946 13.65 0.151 WISE_W2
57568.54491946 14.146 0.071 WISE_W1
57568.61049833 14.351 0.063 WISE_W1
57568.61049833 13.532 0.136 WISE_W2
57568.67594999 13.413 0.096 WISE_W2
57568.67594999 14.409 0.083 WISE_W1
57568.74152896 14.309 0.067 WISE_W1
57568.74152896 13.388 0.085 WISE_W2
57568.8069806 14.288 0.061 WISE_W1
57568.8069806 13.385 0.093 WISE_W2
57568.87255953 14.424 0.066 WISE_W1
57568.87255953 13.357 0.094 WISE_W2
57568.93801118 13.453 0.099 WISE_W2
57568.93801118 14.436 0.096 WISE_W1
57569.06904176 14.29 0.058 WISE_W1
57569.06904176 13.296 0.087 WISE_W2
57569.20007229 13.571 0.1 WISE_W2
57569.20007229 14.302 0.067 WISE_W1
57569.33110281 13.493 0.087 WISE_W2
57569.33110281 14.24 0.058 WISE_W1
57764.29730609 14.223 0.055 WISE_W1
57764.29730609 13.372 0.117 WISE_W2
57764.42821008 14.376 0.063 WISE_W1
57764.42821008 13.463 0.1 WISE_W2
57764.49378942 13.462 0.109 WISE_W2
57764.49378942 14.233 0.115 WISE_W1
57764.5592414 14.375 0.068 WISE_W1
57764.5592414 13.291 0.091 WISE_W2
57764.62469338 14.296 0.069 WISE_W1
57764.62469338 13.386 0.083 WISE_W2
57764.69027277 14.255 0.057 WISE_W1
57764.69027277 13.32 0.123 WISE_W2
57764.75572469 13.367 0.097 WISE_W2
57764.75572469 14.243 0.057 WISE_W1
57764.82117671 14.276 0.089 WISE_W1
57764.82117671 13.507 0.143 WISE_W2
57764.88675605 14.204 0.058 WISE_W1
57764.88675605 13.337 0.083 WISE_W2
57764.95220803 14.269 0.058 WISE_W1
57764.95220803 13.523 0.139 WISE_W2
57765.01766005 13.414 0.115 WISE_W2
57765.01766005 14.361 0.074 WISE_W1
57765.14869137 14.075 0.167 WISE_W2
57765.14869137 14.894 0.091 WISE_W1
57765.27972267 13.261 0.1 WISE_W2
57765.27972267 14.38 0.065 WISE_W1
57772.74609693 13.292 0.092 WISE_W2
