MJD mag magerr band
57272.6061 18.205 0.09 Swift_UVW2
57272.873 17.354 0.09 Swift_UVW1
57272.8743 17.056 0.089 Swift_U
57272.8749 17.942 0.093 Swift_B
57272.8767 18.129 0.105 Swift_UVW2
57272.8787 17.77 0.144 Swift_V
57272.8813 17.899 0.106 Swift_UVM2
57277.3295 17.591 0.084 Swift_UVM2
57277.3518 17.159 0.07 Swift_UVW1
57277.354 17.028 0.066 Swift_U
57277.3553 17.818 0.065 Swift_B
57277.3583 17.825 0.076 Swift_UVW2
57277.362 17.69 0.085 Swift_V
57282.8742 17.494 0.086 Swift_UVM2
57282.8766 17.145 0.075 Swift_UVW1
57282.878 16.917 0.07 Swift_U
57282.8809 17.742 0.08 Swift_UVW2
57283.405 17.34 0.082 Swift_UVM2
57283.4068 17.111 0.074 Swift_UVW1
57283.4079 16.987 0.07 Swift_U
57283.4095 17.787 0.081 Swift_UVW2
57284.3687 17.081 0.069 Swift_UVW1
57284.3699 17.022 0.071 Swift_U
57284.3705 17.932 0.072 Swift_B
57284.3721 17.704 0.077 Swift_UVW2
57284.3738 17.823 0.105 Swift_V
57284.3762 17.281 0.066 Swift_UVM2
57284.7694 17.119 0.074 Swift_UVW1
57284.7704 16.96 0.069 Swift_U
57284.771 17.979 0.072 Swift_B
57284.7725 17.712 0.079 Swift_UVW2
57284.7742 17.907 0.105 Swift_V
57284.8418 17.326 0.086 Swift_UVM2
57290.8666 17.333 0.08 Swift_UVM2
57290.8692 17.156 0.073 Swift_UVW1
57290.8707 16.976 0.069 Swift_U
57290.8733 17.64 0.077 Swift_UVW2
57293.5577 17.018 0.076 Swift_UVM2
57293.5617 16.996 0.072 Swift_UVW1
57293.5641 17.016 0.07 Swift_U
57293.5673 17.496 0.077 Swift_UVW2
57296.6213 17.058 0.074 Swift_UVM2
57296.6237 16.882 0.069 Swift_UVW1
57296.6253 17.056 0.069 Swift_U
57296.6274 17.487 0.075 Swift_UVW2
57298.6395 17.015 0.068 Swift_UVW1
57298.6415 16.927 0.07 Swift_U
57298.6424 18.161 0.077 Swift_B
57298.6449 17.469 0.074 Swift_UVW2
57298.6479 17.836 0.105 Swift_V
57298.6517 17.096 0.065 Swift_UVM2
57299.5105 17.154 0.077 Swift_UVM2
57299.5126 16.929 0.07 Swift_UVW1
57299.5139 17.016 0.07 Swift_U
57299.5157 17.449 0.075 Swift_UVW2
57302.5696 17.051 0.073 Swift_UVM2
57302.571 16.971 0.069 Swift_UVW1
57302.5719 16.962 0.068 Swift_U
57302.5733 17.488 0.075 Swift_UVW2
57305.4853 16.836 0.068 Swift_UVW1
57305.4871 16.911 0.067 Swift_U
57305.4881 18.039 0.07 Swift_B
57305.4897 17.268 0.072 Swift_UVW2
57305.4931 17.893 0.099 Swift_V
57305.4944 17.015 0.072 Swift_UVM2
57307.4468 16.886 0.072 Swift_UVW1
57307.4488 16.947 0.077 Swift_U
