MJD mag magerr band
57262.20353814 14.744 0.294 WISE_W2
57262.3346965 13.824 0.11 WISE_W2
57262.3346965 14.288 0.054 WISE_W1
57262.5971405 14.269 0.066 WISE_W1
57262.5971405 13.835 0.161 WISE_W2
57262.66271968 14.289 0.054 WISE_W1
57262.66271968 13.726 0.104 WISE_W2
57262.66271968 15.743 0.167 WISE_W1
57262.66271968 15.302 0.398 WISE_W2
57262.72829887 13.776 0.12 WISE_W2
57262.72829887 14.204 0.057 WISE_W1
57262.79387804 14.22 0.055 WISE_W1
57262.79387804 13.708 0.183 WISE_W2
57262.85945723 15.738 0.167 WISE_W1
57262.85945723 13.869 0.123 WISE_W2
57262.85945723 14.284 0.057 WISE_W1
57262.85945723 14.36 0.258 WISE_W2
57262.92503637 13.79 0.134 WISE_W2
57262.92503637 14.222 0.056 WISE_W1
57262.99061554 14.165 0.054 WISE_W1
57262.99061554 13.826 0.12 WISE_W2
57262.99074291 14.232 0.069 WISE_W1
57262.99074291 14.116 0.143 WISE_W2
57263.05632209 14.396 0.066 WISE_W1
57263.05632209 13.816 0.129 WISE_W2
57263.12190127 14.326 0.058 WISE_W1
57263.12190127 14.042 0.129 WISE_W2
57263.18748051 14.12 0.05 WISE_W1
57263.18748051 13.87 0.118 WISE_W2
57263.25305964 14.224 0.054 WISE_W1
57263.25305964 13.8 0.11 WISE_W2
57263.31863939 14.162 0.05 WISE_W1
57263.31863939 14.127 0.149 WISE_W2
57263.58108339 14.244 0.058 WISE_W1
57263.58108339 14.012 0.134 WISE_W2
57447.59765347 14.225 0.064 WISE_W1
57447.59765347 13.888 0.118 WISE_W2
57447.5977808 14.203 0.056 WISE_W1
57447.5977808 13.923 0.124 WISE_W2
57447.72881184 14.182 0.052 WISE_W1
57447.72881184 14.088 0.141 WISE_W2
57447.85984289 14.242 0.056 WISE_W1
57447.85984289 13.378 0.09 WISE_W2
57447.92542209 14.078 0.05 WISE_W1
57447.92542209 13.793 0.112 WISE_W2
57447.99100131 13.825 0.207 WISE_W2
57447.99100131 14.21 0.057 WISE_W1
57448.05658051 13.804 0.123 WISE_W2
57448.05658051 15.814 0.193 WISE_W1
57448.05658051 15.532 0.524 WISE_W2
57448.05658051 14.216 0.06 WISE_W1
57448.12203235 14.227 0.084 WISE_W1
57448.12203235 13.942 0.133 WISE_W2
57448.18761156 13.923 0.136 WISE_W2
57448.18761156 14.292 0.061 WISE_W1
57448.25319072 14.36 0.061 WISE_W1
57448.25319072 14.107 0.159 WISE_W2
57448.31864256 14.246 0.054 WISE_W1
57448.31864256 13.791 0.125 WISE_W2
57448.31876993 13.854 0.14 WISE_W2
57448.31876993 14.237 0.057 WISE_W1
57448.38422177 13.747 0.133 WISE_W2
57448.38422177 14.129 0.057 WISE_W1
57448.44980093 14.301 0.059 WISE_W1
57448.44980093 13.969 0.158 WISE_W2
57448.51538013 14.045 0.132 WISE_W2
57448.51538013 14.238 0.054 WISE_W1
57448.51538013 15.919 0.191 WISE_W1
57448.51538013 15.056 0.443 WISE_W2
57448.58083198 14.194 0.07 WISE_W1
57448.58083198 13.928 0.125 WISE_W2
57450.48173779 14.346 0.07 WISE_W1
57450.48173779 13.766 0.118 WISE_W2
57450.61277332 13.657 0.125 WISE_W2
57450.61277332 14.222 0.054 WISE_W1
57450.74380438 14.266 0.072 WISE_W1
57450.74380438 13.903 0.113 WISE_W2
57450.74393169 13.835 0.121 WISE_W2
57450.74393169 14.182 0.055 WISE_W1
57450.80938361 15.513 0.168 WISE_W1
57450.80938361 13.688 0.123 WISE_W2
57450.80938361 14.149 0.052 WISE_W1
57450.80938361 14.964 0.313 WISE_W2
57450.87496285 13.853 0.117 WISE_W2
57450.87496285 14.213 0.052 WISE_W1
57450.94054208 14.286 0.055 WISE_W1
57450.94054208 13.725 0.122 WISE_W2
57451.005994 14.212 0.062 WISE_W1
57451.005994 14.008 0.172 WISE_W2
57451.07157324 14.173 0.052 WISE_W1
57451.07157324 13.835 0.131 WISE_W2
57451.13715243 14.116 0.052 WISE_W1
57451.13715243 14.087 0.206 WISE_W2
57451.20260431 14.264 0.066 WISE_W1
57451.20260431 13.887 0.119 WISE_W2
57451.20273167 13.786 0.141 WISE_W2
57451.20273167 14.61 0.075 WISE_W1
57451.26818353 14.233 0.058 WISE_W1
57451.26818353 13.965 0.168 WISE_W2
57451.33376272 13.745 0.152 WISE_W2
57451.33376272 14.221 0.057 WISE_W1
57451.39934196 14.642 0.361 WISE_W2
57451.39934196 14.213 0.054 WISE_W1
57451.39934196 15.801 0.173 WISE_W1
57451.39934196 14.534 0.259 WISE_W2
57451.46479383 13.776 0.106 WISE_W2
57451.46479383 14.281 0.079 WISE_W1
57451.5959523 14.12 0.065 WISE_W1
57451.5959523 13.698 0.144 WISE_W2
57451.72698341 14.079 0.068 WISE_W1
57451.72698341 13.992 0.143 WISE_W2
57621.15364509 13.981 0.162 WISE_W2
57621.15364509 14.214 0.057 WISE_W1
57621.28467579 14.15 0.056 WISE_W1
57621.28467579 13.54 0.126 WISE_W2
57621.41570644 14.09 0.07 WISE_W1
57621.41570644 13.97 0.149 WISE_W2
57621.54673708 15.384 0.123 WISE_W1
57621.54673708 14.311 0.077 WISE_W1
57621.54673708 13.556 0.15 WISE_W2
57621.61218872 13.893 0.157 WISE_W2
57621.61218872 14.256 0.06 WISE_W1
57621.67776767 14.232 0.058 WISE_W1
57621.67776767 13.849 0.147 WISE_W2
57621.74321932 14.209 0.063 WISE_W1
57621.74321932 13.873 0.177 WISE_W2
57621.80879837 13.896 0.162 WISE_W2
57621.80879837 14.283 0.058 WISE_W1
57621.87425001 14.127 0.052 WISE_W1
57621.87425001 13.77 0.103 WISE_W2
57621.93982906 14.012 0.133 WISE_W2
57621.93982906 14.038 0.058 WISE_W1
57622.00528071 14.228 0.065 WISE_W1
57622.00528071 13.9 0.317 WISE_W2
57622.07085971 14.086 0.068 WISE_W1
57622.07085971 13.935 0.132 WISE_W2
57622.1363114 13.976 0.152 WISE_W2
57622.1363114 14.127 0.056 WISE_W1
57622.26734205 13.773 0.131 WISE_W2
57622.26734205 14.282 0.058 WISE_W1
57622.3983727 14.244 0.056 WISE_W1
57622.3983727 13.883 0.121 WISE_W2
57622.52940338 14.122 0.052 WISE_W1
57622.52940338 13.928 0.146 WISE_W2
57814.59347815 13.916 0.135 WISE_W2
57814.59347815 14.189 0.057 WISE_W1
57814.72450939 15.058 0.407 WISE_W2
57814.72450939 13.83 0.127 WISE_W2
57814.72450939 15.641 0.161 WISE_W1
57814.72450939 14.263 0.063 WISE_W1
57814.85541332 14.172 0.065 WISE_W1
57814.85541332 13.925 0.171 WISE_W2
