 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
13847 ZTF20aawxdbl AGN 58936.943520000204 59688.88097220007 60391.9363425998 51 109 0.00071 5e-05 0.6136 34 98 0.00056 5e-05 0.5358
13942 ZTF20aazpown AGN 58986.88402999984 59780.767696800176 60194.66552079981 280 128 0.00121 7e-05 0.54317 166 65 0.00152 8e-05 0.80694
13996 ZTF20abajicv AGN 58963.69258099981 59905.94086810015 60403.79038190004 76 58 0.00097 7e-05 0.78746 135 51 0.00139 0.0001 0.70773
14157 ZTF20abhjded AGN 59046.95031000022 59758.96216440015 60294.69444439979 94 77 0.00134 6e-05 0.87936 152 95 0.0011 6e-05 0.67568
14175 ZTF20abjubno AGN 59020.76219000016 59441.73909719987 60356.033669000026 84 96 0.00104 4e-05 0.51502 51 52 0.00113 6e-05 0.70396
14185 ZTF20abldtrf AGN 59035.85576000018 59771.88456019992 60284.60864580004 64 71 0.00138 7e-05 0.70528 61 62 0.00142 7e-05 0.67652
14198 ZTF20ablrejn AGN 59024.97362999991 59865.76274310006 60311.63429399999 109 58 0.00095 9e-05 0.62544 90 51 0.001 0.0001 0.6435
14203 ZTF20ablrohr AGN 59016.89266999997 59684.99773149984 60173.83013889985 84 56 0.00169 0.00011 0.71899 71 83 0.00123 8e-05 0.69592
14210 ZTF20ablvyha AGN 59035.85528999986 59167.669803199824 60234.68971059984 17 75 0.00082 4e-05 0.78374 19 62 0.00054 4e-05 0.75045
14268 ZTF20abmlxsc AGN 59047.95474540023 59193.6480556 60284.6266667 17 59 0.00089 4e-05 0.65206 25 60 0.00096 5e-05 0.66131
14349 ZTF20aboezgt AGN 59032.97928000009 59744.96168980002 60314.65542820003 90 95 0.00126 6e-05 0.83011 206 134 0.00129 5e-05 0.79424
14466 ZTF20abwfuju AGN 59087.951539999805 59806.89981479989 60291.6962731001 49 62 0.00155 7e-05 0.76637 25 53 0.00167 9e-05 0.80882
14531 ZTF20acbdfqv AGN 59084.883289999794 59391.89866899978 59879.76123839989 9 64 0.00123 6e-05 0.61132 28 59 0.00098 7e-05 0.69972
14629 ZTF20acgcnjt NT 59123.030798600055 59125.00834489986 60378.70667820005 0 98 0.00051 2e-05 0.69135 54 75 0.00058 3e-05 0.59518
14652 ZTF20achvpct AGN 59124.97807000019 59859.001296299975 60403.64918980002 77 52 0.00187 8e-05 0.87665 72 55 0.00205 8e-05 0.91381
14764 ZTF20aclvmxu AGN 59124.62715000007 59444.796747699846 60254.608020800166 24 82 0.00111 5e-05 0.77118 33 71 0.00102 6e-05 0.78322
14775 ZTF20acmfaue AGN 59126.98412000016 59888.94188660011 60403.71219909983 79 53 0.00122 9e-05 0.75337 83 53 0.00104 9e-05 0.78246
14865 ZTF20acpzjri AGN 59157.99509999994 59207.04105320014 59551.04124999978 15 57 0.00375 0.00019 0.61404 11 56 0.00417 0.0002 0.68235
14904 ZTF20acrkkrd AGN 59141.97074999986 59830.0208796002 60403.821284700185 66 66 0.00148 8e-05 0.83467 84 78 0.00091 7e-05 0.6345
15229 ZTF21aahjaxr AGN 59222.68424999993 59808.95394679997 60352.623773099855 24 77 0.00096 6e-05 0.71335 23 61 0.0009 7e-05 0.65942
15404 ZTF21aamqfiz AGN 59248.94162999978 59677.89818290016 60291.05802079989 7 65 0.0039 7e-05 0.6091 23 94 0.00298 5e-05 0.58686
15597 ZTF21aavabtm AGN 59308.00695599988 59816.81800930016 60250.74162039999 29 62 0.00124 9e-05 0.61607 47 75 0.00096 9e-05 0.57352
15801 ZTF21abccckw AGN 59324.87253470021 59768.81946759997 60355.9662269 61 61 0.00068 9e-05 0.62539 61 56 0.0007 0.00011 0.64271
16038 ZTF21abqsbcn AGN 59401.7525231 59771.83806709992 60356.04030090012 35 61 0.00157 8e-05 0.74027 10 55 0.00097 9e-05 0.60402
16087 ZTF21abryxpn AGN 59407.92840280011 59790.88887730008 60252.66006939998 25 55 0.00198 0.00012 0.77287 19 52 0.00135 0.0001 0.73252
18966 ZTF18aafpuxr AGN 58371.97396990005 59873.92519679992 60403.65015049977 85 57 0.00115 8e-05 0.76072 68 66 0.00119 0.00011 0.53664
18980 ZTF18aagkgpc AGN 58464.79569000006 59232.87331019994 60397.757338 189 152 0.00096 2e-05 0.72775 182 381 0.00102 2e-05 0.80652
19004 ZTF18aajvtbl AGN 58269.75 59791.75490739988 60396.9670833 272 104 0.00289 6e-05 0.55843 210 93 0.00237 7e-05 0.5261
19070 ZTF18aavmrqy AGN 58270.75 59695.80283559999 60403.838090300094 216 140 0.00095 5e-05 0.66813 296 185 0.00096 4e-05 0.60122
19077 ZTF18aavzfjr AGN 58367.69252309995 59303.8802546002 60399.00775460014 156 189 0.0012 3e-05 0.63607 143 179 0.00102 3e-05 0.61743
19099 ZTF18aaxvvwx AGN 58281.76567129977 59688.904305600096 60396.910196799785 266 122 0.00158 5e-05 0.74242 175 116 0.00125 5e-05 0.7491
19121 ZTF18abafydg AGN 58282.7658218001 59550.99137730012 60398.91140050022 70 229 0.00079 3e-05 0.60587 44 112 0.00081 5e-05 0.53993
19145 ZTF18abedvgr AGN 58473.03531000018 58966.86359950015 59841.65365740005 68 158 0.00079 3e-05 0.68018 53 152 0.00072 3e-05 0.69039
19187 ZTF18abkicej AGN 58329.97680559987 59113.82311340002 60353.63430560008 164 468 0.00209 1e-05 0.62556 368 542 0.0021 1e-05 0.50256
19259 ZTF18abrdaqn AGN 58462.761520000175 59064.93980319984 59933.64840279985 46 97 0.0008 4e-05 0.79357 35 84 0.00088 4e-05 0.74017
19268 ZTF18abrzkru AGN 58365.72267360008 58944.994629600085 60058.97583330004 60 215 0.00119 2e-05 0.67722 85 111 0.0011 3e-05 0.62444
19270 ZTF18absaazu AGN 58364.72074070014 59150.6570255002 60398.99359950004 137 191 0.00077 2e-05 0.52974 109 208 0.00077 2e-05 0.61092
19340 ZTF18abvzroq AGN 58635.903150000144 59035.85864580004 59526.7243170999 72 142 0.00127 5e-05 0.66667 67 148 0.00128 6e-05 0.69758
19381 ZTF18abzptvg AGN 58388.62473380007 59739.88804400014 60403.95358800003 49 124 0.00224 5e-05 0.5418 30 67 0.00175 7e-05 0.57901
19404 ZTF18acatltx AGN 59018.88885000022 59707.98981480021 60290.67703700019 101 93 0.00086 5e-05 0.66404 131 133 0.00075 5e-05 0.58374
19411 ZTF18acbvzxr AGN 58397.922549999785 59249.76333330013 60403.80231480021 122 157 0.00102 2e-05 0.66537 68 558 0.00099 2e-05 0.65126
19414 ZTF18acbxsyl AGN 58423.740790000185 59780.92166669993 60287.627488399856 44 82 0.0019 6e-05 0.92193 40 62 0.00172 7e-05 0.89862
19427 ZTF18accdlmk AGN 58423.98735000007 59712.7083796002 60398.89060189994 184 73 0.00146 6e-05 0.84409 204 64 0.00142 7e-05 0.81409
19508 ZTF18achbdgb AGN 58423.80178999994 59082.84326389991 60355.62456020014 67 127 0.00119 2e-05 0.71206 196 80 0.00208 5e-05 0.69069
19558 ZTF18acszhqa AGN 58428.8308199998 59103.02337960014 59991.66939810012 60 133 0.00184 3e-05 0.89423 64 126 0.0018 3e-05 0.88512
19563 ZTF18acugmwi AGN 58642.92159719998 59862.81697920011 60291.610115699936 143 64 0.00203 8e-05 0.85881 136 63 0.00217 8e-05 0.91438
19575 ZTF18acvcfsc AGN 58462.7745099999 59422.96302080015 60358.63089120016 101 129 0.0007 3e-05 0.68646 102 109 0.00064 3e-05 0.54428
19577 ZTF18acvdbrn AGN 58434.92873999989 58966.72223380022 60399.66260420019 73 154 0.00063 2e-05 0.566 75 166 0.00053 2e-05 0.5139
19597 ZTF18acvsvre AGN 58462.82911999989 58834.01781249978 60397.642766200006 22 177 0.00048 2e-05 0.69148 71 216 0.00045 2e-05 0.56699
19627 ZTF18acwzbeb AGN 58482.04532410018 59929.06425930001 60398.93032409996 146 52 0.00295 0.00019 0.50121 184 90 0.00349 8e-05 0.87415
19770 ZTF19aaapjem AGN 58467.02870000014 59304.91258100001 60078.82915510005 105 76 0.00167 5e-05 0.84503 98 67 0.00224 9e-05 0.83871
19795 ZTF19aacprqy AGN 58464.78183999984 59408.96423610021 59942.70756939985 140 77 0.00206 6e-05 0.85355 118 148 0.0016 4e-05 0.77231
19811 ZTF19aaczefh AGN 58467.96568999998 58977.67987270001 60403.82806710014 188 374 0.00052 1e-05 0.71006 136 306 0.00048 2e-05 0.6407
20003 ZTF19aanuitg AGN 58557.9905555998 59181.63709490001 60403.96402780013 122 190 0.00103 2e-05 0.55758 171 166 0.00107 3e-05 0.57885
20006 ZTF19aanutve AGN 58543.97807000019 59301.96049770014 60398.92541670008 66 82 0.00106 4e-05 0.60741 85 83 0.00089 3e-05 0.62614
20029 ZTF19aaoiyxe AGN 58547.91379630007 59625.851412000135 60391.89431709983 96 110 0.00157 5e-05 0.84184 97 70 0.00154 6e-05 0.74631
20058 ZTF19aaozooc AGN 58557.831879999954 59188.060624999925 60109.70822919998 23 82 0.00183 5e-05 0.9456 27 105 0.00142 4e-05 0.87385
20089 ZTF19aapgcbj AGN 58605.91015999997 59504.69806709979 60205.70067129983 74 82 0.00096 6e-05 0.52164 84 105 0.00101 5e-05 0.69238
20127 ZTF19aaqfefw AGN 58558.00312000001 58795.57729170006 59491.65159719996 20 85 0.00107 5e-05 0.64432 35 87 0.00122 5e-05 0.71387
20129 ZTF19aaqtrvq AGN 58601.99112999998 60103.93394679995 60311.62453699997 204 110 0.00637 0.00019 0.8649 213 83 0.00622 0.00027 0.74905
20145 ZTF19aarmzko AGN 58567.75494999997 59504.03935190011 60398.88097220007 102 62 0.00074 5e-05 0.54548 116 137 0.00076 4e-05 0.56922
20291 ZTF19aaslshh AGN 58893.03134000022 59936.63146989979 60403.9521643999 268 90 0.00185 9e-05 0.85389 262 75 0.00149 0.00016 0.66854
20293 ZTF19aaslzkx AGN 58607.86634000018 59813.763194399886 60261.7405555998 213 96 0.00149 7e-05 0.52303 292 97 0.00164 7e-05 0.58505
20308 ZTF19aatghco AGN 58575.72118999995 59983.852557899896 60398.89012729982 152 57 0.00203 0.0001 0.8216 114 52 0.00144 0.00013 0.83262
20327 ZTF19aatvmms AGN 58582.96582000004 59301.014305599965 60238.69491899992 89 153 0.00128 3e-05 0.84928 114 143 0.00106 3e-05 0.78381
20368 ZTF19aavlmzu AGN 58853.0230556 59196.07155090012 59765.69060190022 10 60 0.00127 6e-05 0.66403 29 78 0.00143 6e-05 0.7881
20385 ZTF19aavxwci AGN 58606.96163999988 59217.04975689994 60390.99271989986 106 137 0.00063 2e-05 0.56372 98 163 0.0006 2e-05 0.65775
20464 ZTF19aayhllm AGN 58638.78596000001 59688.88238430023 60398.945185199846 162 140 0.00105 4e-05 0.75058 194 139 0.00124 5e-05 0.77759
20529 ZTF19abcewbr AGN 58654.94291999983 59530.62695599999 60290.60809030011 39 72 0.00113 6e-05 0.67758 28 60 0.00084 7e-05 0.51609
20546 ZTF19abcucgu AGN 59082.86127999984 59494.67884259997 59853.78876159992 108 54 0.00173 0.00011 0.61702 55 81 0.00168 0.00012 0.64312
20549 ZTF19abcvgea AGN 58638.80924999993 59739.780173600186 60398.96462959983 134 64 0.00154 9e-05 0.63482 76 73 0.00103 7e-05 0.60097
20558 ZTF19abdkfyg AGN 58667.94629629981 59422.921759299934 60358.63325229986 146 114 0.00065 3e-05 0.66164 109 135 0.0006 3e-05 0.67225
20582 ZTF19abegshi AGN 58662.94665510021 59758.96413190011 60341.65379629983 201 58 0.0026 0.0001 0.84707 167 164 0.00118 5e-05 0.62535
20622 ZTF19abfvoit AGN 58677.97514000023 59709.99131939979 60358.63561340002 184 107 0.00094 5e-05 0.78691 262 245 0.00061 3e-05 0.5641
20623 ZTF19abfvpat AGN 58646.95275000017 59722.98241900001 60358.641307900194 129 81 0.00129 7e-05 0.72125 105 118 0.00103 6e-05 0.64243
20646 ZTF19abiqqxn AGN 58692.9859491 58878.62939810008 59527.7952430998 26 67 0.00115 6e-05 0.695 25 60 0.00122 8e-05 0.65774
20667 ZTF19abjflfu AGN 58966.940196800046 59304.009953700006 60285.617592600174 97 126 0.00095 4e-05 0.73339 68 209 0.00055 2e-05 0.56997
20685 ZTF19abjpaox AGN 58665.95357999997 59982.68000000017 60354.656990699936 247 66 0.00125 0.0001 0.83965 328 116 0.00085 0.00011 0.54469
20688 ZTF19abjpdrj AGN 58665.952209999785 59226.685601899866 59819.97135420004 106 54 0.00108 8e-05 0.68483 129 63 0.00161 0.00011 0.63154
20693 ZTF19abjploa AGN 58681.95750000002 59418.94612269988 60358.63089120016 82 91 0.00083 4e-05 0.68007 63 89 0.00063 4e-05 0.70766
20762 ZTF19ablfzmq AGN 58667.949020000175 59876.88539349986 60358.6422569002 201 66 0.00097 9e-05 0.70282 284 120 0.00087 7e-05 0.52738
20990 ZTF19acgkvud AGN 58747.77022999991 60103.90900459979 60288.6097569 129 69 0.00085 0.0001 0.6281 135 51 0.00118 0.00029 0.56069
21023 ZTF19acnwgld AGN 58761.65464999992 58914.94498840021 60233.70565970009 16 280 0.0006 1e-05 0.69537 102 131 0.00057 3e-05 0.52486
21050 ZTF19acvjfmx AGN 58783.63218000019 59810.86473379983 60311.64089119993 162 83 0.00215 7e-05 0.82204 229 184 0.00113 4e-05 0.52942
21104 ZTF19adcdcot AGN 58823.93561000005 59125.027604199946 59531.97677080007 43 75 0.00147 0.0001 0.70413 46 57 0.00143 0.00014 0.52327
21114 ZTF19adcecqs AGN 58820.01330999984 59509.98984949989 60356.95662039984 154 275 0.00071 2e-05 0.60171 282 153 0.00131 4e-05 0.76281
21148 ZTF19adcqykk AGN 59459.76134259999 59744.947164400015 60284.63341439981 23 120 0.00159 5e-05 0.8732 67 99 0.00171 7e-05 0.88458
21161 ZTF19adfrdjq AGN 59673.801967599895 59788.80422449997 60355.967650500126 85 87 0.00235 7e-05 0.68657 34 94 0.00144 6e-05 0.71886
21289 ZTF20aaentve AGN 58851.01326389983 59682.84774310002 60355.95113429986 143 79 0.00085 6e-05 0.50492 148 75 0.00089 6e-05 0.63011
21312 ZTF20aafxvth AGN 58835.01483999984 59830.01516199997 60403.78613429982 64 70 0.00128 6e-05 0.62746 119 58 0.00149 8e-05 0.62928
21353 ZTF20aaifzix AGN 58852.04791999981 59064.69370369986 59782.76953699999 26 56 0.00156 8e-05 0.68266 32 77 0.00125 5e-05 0.8239
21658 ZTF20aawnglo AGN 58936.98515000008 59727.84930559993 60173.74929400021 96 98 0.0012 6e-05 0.62193 53 79 0.00109 7e-05 0.54908
21758 ZTF20aaztcwr AGN 58955.9001042 59363.87493060017 60113.75613430003 70 75 0.00105 5e-05 0.75199 70 76 0.00093 5e-05 0.64011
22156 ZTF20abtkcbk AGN 59084.928390000015 59904.81581019983 60354.651493099984 54 69 0.00073 7e-05 0.51743 82 55 0.00088 9e-05 0.56417
22170 ZTF20abvatsy AGN 59064.95875000022 59851.94967589993 60325.734895799775 97 84 0.00216 6e-05 0.86029 124 87 0.00212 7e-05 0.89776
22256 ZTF20acbbsve AGN 59095.79295000015 59802.90083329985 60291.6242244998 45 62 0.00119 7e-05 0.87366 43 59 0.00098 7e-05 0.88113
22325 ZTF20acflswh AGN 59092.92493000021 59707.685324099846 60294.88641199982 93 75 0.00157 6e-05 0.78641 115 68 0.00158 0.00012 0.62696
22376 ZTF20acivmkm AGN 59124.956300000194 59466.00980320014 60378.720601900015 43 87 0.0009 5e-05 0.65331 57 121 0.0007 3e-05 0.66372
22414 ZTF20acklcyp SN 59110.86785000004 59331.99809029978 59904.703807900194 2 106 0.00378 5e-05 0.73814 52 202 0.00419 4e-05 0.9715
22437 ZTF20aclhxoq AGN 59128.97354000015 59882.98907409981 60403.778553199954 99 75 0.00186 7e-05 0.86958 173 100 0.00167 8e-05 0.8544
22512 ZTF20acpgzcf AGN 59135.96859000018 59355.702384300064 60357.81991899992 113 177 0.00089 3e-05 0.71427 113 198 0.0009 3e-05 0.78634
22737 ZTF21aacugwj AGN 59194.029953700025 59476.68758099992 60173.67230319977 68 74 0.00153 7e-05 0.82157 63 88 0.00102 6e-05 0.75363
22836 ZTF21aagxcek AGN 59248.78582180012 59485.02847220004 60354.83802080015 11 60 0.00103 4e-05 0.81424 35 99 0.00077 4e-05 0.6726
23517 ZTF21abquztl AGN 59411.90622689994 59810.95144680003 60355.64068289986 31 61 0.00124 8e-05 0.60395 68 132 0.00101 6e-05 0.60952
23544 ZTF21abrpewg AGN 59404.96493060002 59764.98541670013 60378.66603010008 88 59 0.00109 0.00012 0.66584 39 139 0.0007 5e-05 0.68377
23789 ZTF21acjdqgz AGN 59487.77035879996 59699.00091439998 60291.6807407001 11 102 0.00108 5e-05 0.69062 8 105 0.0013 5e-05 0.71277
23969 ZTF22aaaelic AGN 59600.94181710016 59722.85446760012 60398.80959489988 20 52 0.00166 8e-05 0.58898 19 84 0.0014 5e-05 0.60246
23980 ZTF22aaakran AGN 59740.92667819979 59848.818726900034 60285.64810189977 30 71 0.00163 7e-05 0.7973 29 66 0.0015 8e-05 0.74973
24234 ZTF22aakkilt AGN 59689.78278939985 59897.851331000216 60354.84947919985 17 55 0.00307 8e-05 0.94368 22 63 0.00187 9e-05 0.85071
25618 ZTF17aaadhjr AGN 58373.01697919984 59887.96128469985 60399.65403940016 131 66 0.00341 8e-05 0.77695 207 74 0.00337 8e-05 0.76008
25737 ZTF18aaogimr AGN 58473.0362300002 59637.99197919993 60109.79790510005 106 70 0.00426 9e-05 0.82034 91 56 0.00357 0.00022 0.51013
25777 ZTF18aaujtcj AGN 58526.96986000007 59769.70218749996 60398.91612270009 151 62 0.00087 0.0001 0.50497 160 51 0.00049 9e-05 0.60453
25800 ZTF18aawxosg AGN 58556.89545139996 59505.02245370019 60380.7680902998 31 128 0.00284 4e-05 0.91278 35 150 0.00348 4e-05 0.83888
25813 ZTF18aaybrlv AGN 58880.00646999991 59679.79800930014 60117.82053240016 114 82 0.00325 8e-05 0.94452 115 69 0.00361 0.00014 0.90503
25820 ZTF18aayjwjk AGN 58276.75981480023 59385.797268500086 60165.70048609981 142 107 0.00123 4e-05 0.79406 126 83 0.00095 5e-05 0.70226
25842 ZTF18abauccy AGN 58336.73710650019 58975.77422450017 60403.9358680998 82 195 0.0007 2e-05 0.65561 70 169 0.00066 3e-05 0.62275
25860 ZTF18abeenrs AGN 58877.03489580005 59056.85121530015 59850.63657409977 169 191 0.00194 4e-05 0.80326 112 308 0.00174 3e-05 0.86525
25930 ZTF18abqovca AGN 58654.945210000034 59102.918182900175 60314.64461810002 126 156 0.00084 2e-05 0.77718 88 174 0.0005 2e-05 0.66075
25969 ZTF18abszugm AGN 58851.05378000019 59523.65557869989 60398.996944400016 173 97 0.00118 6e-05 0.5685 89 113 0.00082 5e-05 0.58228
26007 ZTF18abvlwmc AGN 58696.93333999999 59449.98140050005 60314.66586809978 60 74 0.00126 4e-05 0.57605 56 60 0.00132 4e-05 0.67294
26025 ZTF18abwhumn AGN 59046.93911000015 59408.95778940013 60314.664456000086 190 78 0.00214 0.00029 0.5515 40 169 -0.0008 3e-05 0.53091
26060 ZTF18acakvgo AGN 58397.88641199982 59198.71907409979 60327.674918999895 99 128 0.00138 2e-05 0.72492 110 124 0.00152 3e-05 0.72585
26085 ZTF18accdokx AGN 58423.96521000005 58888.92702550022 60088.78667820012 65 161 0.00066 2e-05 0.5217 62 126 0.00085 4e-05 0.77592
26096 ZTF18acctvpm AGN 58423.02939999988 58794.01712960005 60403.80178239988 83 217 0.00099 2e-05 0.67036 72 302 0.00093 1e-05 0.80123
26181 ZTF18acrhkca AGN 58449.00979000004 58692.68753470015 60398.91612270009 43 220 0.00053 2e-05 0.54785 50 204 0.00054 2e-05 0.63175
26269 ZTF18acxfmbb AGN 58502.99249000009 58834.07121529989 59753.73725689994 30 142 0.00127 3e-05 0.87161 19 97 0.00126 5e-05 0.83205
26289 ZTF18aczvdam AGN 58708.97475690022 59843.94645830011 60379.63653940009 138 85 0.0017 6e-05 0.90175 131 80 0.00136 6e-05 0.868
26434 ZTF19aaermov AGN 58480.98359999992 59627.80243059993 60403.78896989999 63 85 0.00202 5e-05 0.66255 64 116 0.00219 5e-05 0.80794
26475 ZTF19aajxarz AGN 58503.965239999816 59361.721203700174 60311.77780089993 92 159 0.00123 2e-05 0.7911 175 74 0.00084 4e-05 0.51052
26498 ZTF19aalevkv AGN 58513.052511599846 58975.76668980019 60207.70328699984 88 130 0.00065 2e-05 0.52726 57 71 0.00108 6e-05 0.56604
26560 ZTF19aannrvy AGN 58726.98747690022 59149.84491899982 60324.91576390015 44 60 0.00074 3e-05 0.84975 26 52 0.00068 5e-05 0.72677
26624 ZTF19aapgbyf AGN 59263.9919906999 59967.991713 60398.99788190005 90 58 0.00206 0.00021 0.67333 92 62 0.00175 0.00021 0.6343
26639 ZTF19aapumjw AGN 58556.70152000012 59271.89224540023 60398.73930560006 248 285 0.00083 2e-05 0.86456 129 202 0.00061 2e-05 0.66952
26785 ZTF19aaskrrm AGN 58831.04475999996 59216.9047801001 60058.707314800005 22 55 0.00091 4e-05 0.6822 26 71 0.00098 5e-05 0.69154
26790 ZTF19aasljgl AGN 59155.98429400008 59266.80052080005 60398.86350690015 29 77 0.00046 3e-05 0.51106 27 117 0.00062 3e-05 0.6291
26816 ZTF19aatvkqu AGN 58602.00168000022 59713.89996530023 60144.85256939987 45 60 0.00174 0.00011 0.61798 32 62 0.0015 0.0001 0.61838
26825 ZTF19aaucwsg AGN 58608.95829859981 59755.91302079987 60170.8119212999 45 59 0.00151 0.0001 0.59229 29 63 0.00148 0.0001 0.68081
26863 ZTF19aavvvup AGN 58643.95643519983 59356.98648149986 59906.65277779987 66 160 0.00078 3e-05 0.53247 185 86 0.00151 7e-05 0.75347
26877 ZTF19aawfjsd AGN 58607.91809999989 59374.919155099895 60193.73252309999 59 149 0.0012 3e-05 0.64155 29 108 0.0013 5e-05 0.64381
26886 ZTF19aawlmtf AGN 58618.95777999982 59438.84035879979 60314.65879630018 148 195 0.00192 2e-05 0.87567 182 248 0.00134 3e-05 0.6008
26926 ZTF19aayhuvl AGN 58616.92022999981 59272.05690969992 60148.85145829991 118 258 0.00157 2e-05 0.76558 134 241 0.00133 3e-05 0.81992
26979 ZTF19abdkgfj AGN 58667.94810190005 59477.75711809984 60358.65296299989 144 119 0.00101 3e-05 0.70564 176 112 0.00085 4e-05 0.6684
26987 ZTF19abdxxzz AGN 58647.97297 59330.0001968001 60284.621307900175 158 98 0.00084 3e-05 0.61098 61 163 0.00091 3e-05 0.67063
27035 ZTF19abgjfdj AGN 58665.95176000008 59149.7043980998 59531.78516199999 45 100 0.0014 7e-05 0.73876 110 91 0.0018 9e-05 0.68422
27084 ZTF19abjnctt AGN 58674.98655000003 59151.69081019983 60290.64709489979 32 121 0.00063 3e-05 0.77919 23 122 0.00054 2e-05 0.81865
27141 ZTF19ablrcwd AGN 58693.94437499996 59776.9754050998 60340.72275459999 40 60 0.00127 7e-05 0.81694 51 63 0.00136 7e-05 0.8016
27161 ZTF19aboqtsg AGN 58673.98713999987 59694.997511600144 60311.63854169985 51 115 0.00138 5e-05 0.8914 48 156 0.00095 4e-05 0.60283
27162 ZTF19aborkeq AGN 58676.98824999994 59800.88106480008 60290.744259300176 111 64 0.00158 7e-05 0.79917 75 51 0.00166 8e-05 0.65198
27195 ZTF19abtssiw AGN 58713.98534000013 59152.94075229997 60261.91196760023 34 92 0.00057 3e-05 0.59079 33 78 0.00061 3e-05 0.63993
27232 ZTF19abxqzny AGN 58908.98935189983 59783.8819213002 60205.68177080015 157 72 0.002 8e-05 0.78597 162 61 0.00186 9e-05 0.73441
27256 ZTF19acbazea AGN 58721.95449999999 59744.97296300018 60378.662708300166 165 92 0.00141 6e-05 0.8805 230 141 0.00095 5e-05 0.68192
27294 ZTF19acdjjme AGN 58733.99241899978 60187.99854170019 60403.78467589989 104 58 0.0042 0.00038 0.68352 183 59 0.0037 0.00028 0.72737
27347 ZTF19acszpyk AGN 58836.04565969994 59300.8368286998 60357.94089120021 41 69 0.00097 4e-05 0.76077 65 81 0.00115 5e-05 0.74681
27351 ZTF19actszna AGN 58776.69344000006 59674.01857639989 60257.70414349996 152 82 0.00222 7e-05 0.91694 183 125 0.0017 6e-05 0.82121
27367 ZTF19acxyrsb AGN 58829.05426000012 59417.69560190011 60379.84754629992 154 209 0.00125 3e-05 0.56187 159 96 0.00162 8e-05 0.74056
27434 ZTF19adddcvh AGN 59476.6941550998 59673.8879976999 60399.00721060019 7 72 0.00107 5e-05 0.78128 13 79 0.00122 5e-05 0.84861
27554 ZTF20aafycnr AGN 58835.9032800002 59627.71386570018 60352.69255790021 103 77 0.00088 6e-05 0.65195 137 89 0.00097 6e-05 0.59531
27605 ZTF20aajcbyy AGN 58853.05527999997 59200.954120399896 60353.90831020009 86 219 0.00074 2e-05 0.7228 100 141 0.00069 4e-05 0.6019
27659 ZTF20aanxkso AGN 58938.6746100001 59638.84611110017 60403.82364579989 54 65 0.0009 5e-05 0.66089 47 55 0.00093 6e-05 0.66622
27719 ZTF20aatvmou AGN 58908.84410999995 59272.92709490005 60077.82751160022 38 64 0.00135 6e-05 0.83827 29 66 0.00103 6e-05 0.79899
27739 ZTF20aavbjfj AGN 58940.74954999983 59249.93687500013 60327.9000116 36 72 0.00085 6e-05 0.59645 44 63 0.00053 4e-05 0.64
27763 ZTF20aavyvdj AGN 58936.9472099999 59449.68266199995 60147.76503469981 93 61 0.00098 7e-05 0.5572 55 61 0.00084 6e-05 0.52697
27831 ZTF20aazlfmi AGN 59016.70449999999 59802.72810189985 60355.9848495 120 69 0.00147 8e-05 0.61317 143 59 0.00116 0.0001 0.56535
27929 ZTF20abdaxdw AGN 59017.76280000014 59805.72322920011 60398.82700229995 155 79 0.0026 9e-05 0.84633 117 105 0.00191 6e-05 0.90655
28023 ZTF20ablrlai AGN 59018.96607640013 59829.9250810002 60291.61249999981 67 90 0.00206 6e-05 0.86904 116 129 0.00177 7e-05 0.81272
28061 ZTF20abmdoyt AGN 59036.98144999985 59449.88859950006 60307.682430599816 76 71 0.00107 4e-05 0.90426 101 51 0.00092 5e-05 0.76888
28113 ZTF20abnnlge AGN 59036.89100999991 59744.96516200015 60355.64115739986 20 83 0.00115 5e-05 0.65875 45 124 0.001 5e-05 0.56
28169 ZTF20abthqxn AGN 59047.91852999991 59865.83067130018 60290.65325229988 128 160 0.00191 5e-05 0.80092 140 109 0.00165 7e-05 0.67352
28213 ZTF20abxtitr AGN 59091.956180599984 59826.93888889998 60357.62697920017 51 83 -0.00086 5e-05 0.51248 70 81 -0.00103 6e-05 0.62482
28253 ZTF20accpakm AGN 59373.903229199816 59795.879536999855 60290.60950230016 43 84 0.00128 6e-05 0.73021 40 68 0.00123 7e-05 0.71084
28262 ZTF20acdcjgn AGN 59085.914940000046 59776.92561340006 60290.729409699794 65 96 0.00113 6e-05 0.70501 41 87 0.00133 6e-05 0.81406
28574 ZTF21aabypln AGN 59194.02847220004 59639.805659700185 60151.707314800005 149 167 0.00247 5e-05 0.88987 123 150 0.00202 5e-05 0.87895
28936 ZTF21aaygpin AGN 59316.88802079996 59968.01387730008 60234.633784700185 60 69 0.00203 0.00011 0.71512 72 55 0.00306 0.00021 0.74188
28937 ZTF21aaygpqi AGN 59334.98393520014 59393.86658560019 60284.6305670999 5 128 0.00066 3e-05 0.60459 24 84 0.00077 4e-05 0.57638
29063 ZTF21abdjbxf AGN 59366.96187500004 59816.92131939996 60315.67035879986 32 82 0.00104 7e-05 0.72406 44 84 0.00089 6e-05 0.66704
29127 ZTF21abiggqx SN 59364.84729170008 59971.96302080015 60398.97840279993 10 212 0.0012 3e-05 0.60655 234 135 0.00125 0.00014 0.73687
