 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
1563 ZTF19aahwicx AGN 58556.70759999985 59180.97873840016 59906.92364579998 49 72 0.00171 6e-05 0.90657 42 57 0.00171 9e-05 0.82541
1645 ZTF19aalmwdr AGN 58513.928969999775 59169.00497689983 60398.81484950008 34 129 0.00127 2e-05 0.61458 34 136 0.00145 3e-05 0.69245
1660 ZTF19aalzjpx AGN 58522.96074000001 59695.80283559999 60323.9401273001 162 88 0.00102 6e-05 0.81487 167 137 0.00091 5e-05 0.55803
1708 ZTF19aanjhzy AGN 58572.65787000023 59441.005046300124 60324.88288189983 98 69 0.00071 4e-05 0.56287 95 73 0.00108 5e-05 0.67949
1774 ZTF19aanyjzx AGN 58557.98182869982 59476.67711810023 60352.01922449982 70 134 0.00111 3e-05 0.62645 148 106 0.00118 4e-05 0.59508
1809 ZTF19aaomgcd AGN 58556.92800999992 59802.78518520016 60184.683553200215 152 54 0.00337 0.00015 0.51892 72 92 0.00164 6e-05 0.85722
1854 ZTF19aapfzlm AGN 58939.9785000002 59743.88922449993 60398.97793979989 66 83 0.00186 7e-05 0.77154 68 96 0.0012 6e-05 0.66502
1887 ZTF19aaprxyx AGN 58601.992037000135 59922.721446800046 60311.62406249996 192 56 0.00173 0.00014 0.52906 214 65 0.00198 0.00015 0.57265
1901 ZTF19aapwadf AGN 58878.01775459992 59743.88686340023 60178.75884260005 340 118 0.00186 7e-05 0.78407 243 149 0.0012 6e-05 0.56647
2065 ZTF19aasdkah AGN 58583.85440000007 59637.02577550011 60403.941365700215 70 79 0.00107 6e-05 0.69278 70 65 0.00114 7e-05 0.72362
2136 ZTF19aasgxbm AGN 58580.999660000205 59628.97050930001 60390.00421300018 137 117 0.00058 5e-05 0.6309 162 116 0.00055 5e-05 0.66391
2173 ZTF19aaslpcj AGN 58944.98998000007 59164.66023149993 60259.620243099984 42 91 0.00049 3e-05 0.50972 71 93 0.0005 3e-05 0.67504
2181 ZTF19aasltcj AGN 58668.80740999989 59626.035937500186 60391.970694399904 336 230 0.00165 4e-05 0.70291 338 241 0.00126 4e-05 0.69533
2195 ZTF19aasqsdq AGN 58572.708629999775 59152.984259299934 60388.73201389983 26 114 0.00048 3e-05 0.76663 42 122 0.00042 3e-05 0.57362
2213 ZTF19aatnrlg AGN 58580.79798609996 59273.89778940007 60326.02847220004 80 114 0.00148 3e-05 0.76894 76 87 0.00109 4e-05 0.76084
2224 ZTF19aatubsj SN 58580.94169999985 58700.674016200006 60392.03439809987 20 185 0.00112 2e-05 0.66045 27 184 0.00117 2e-05 0.69505
2232 ZTF19aatvmme AGN 58607.97329859994 60108.910937500186 60311.62453699997 211 55 0.00162 0.00026 0.55072 256 58 0.00188 0.00026 0.54867
2266 ZTF19aauoadx AGN 58886.98382999981 59837.67340280023 60391.953229200095 324 100 0.00273 0.00017 0.63103 278 147 0.00211 7e-05 0.75426
2305 ZTF19aavvlyk AGN 58607.97238430008 59110.7905323999 60236.694513900205 40 86 0.00078 4e-05 0.6272 37 58 0.00081 6e-05 0.61823
2317 ZTF19aavxjju AGN 58607.73071999988 59727.71092589991 60403.836666699965 69 55 0.00119 5e-05 0.78233 109 57 0.00103 7e-05 0.60718
2396 ZTF19aaxonvq AGN 58617.96689999988 59788.88771989988 60403.96976849996 113 77 0.00237 7e-05 0.62576 124 81 0.00226 6e-05 0.6751
2410 ZTF19aaxvubr AGN 58617.96596999979 59283.04696760001 60390.02723379992 295 263 0.00109 3e-05 0.70442 207 492 0.00074 2e-05 0.73795
2412 ZTF19aaxxsex AGN 58612.970160000026 58979.77498839982 60140.86614579987 132 262 0.00096 2e-05 0.74648 76 138 0.00129 4e-05 0.73234
2444 ZTF19aazdeyg AGN 58642.92063659988 59762.937650499865 60290.65136570018 109 90 0.00182 6e-05 0.92433 116 101 0.00098 5e-05 0.81216
