MJD mag magerr band
57044.9583712 12.024 0.037 WISE_W2
57044.9583712 11.931 0.021 WISE_W1
57045.08978425 12.043 0.021 WISE_W1
57045.08978425 11.991 0.037 WISE_W2
57216.1535717 12.05 0.021 WISE_W1
57216.1535717 12.023 0.036 WISE_W2
57216.28472944 12.103 0.039 WISE_W2
57216.28472944 11.889 0.028 WISE_W1
57216.41601455 12.014 0.022 WISE_W1
57216.41601455 12.082 0.037 WISE_W2
57216.54717238 12.06 0.043 WISE_W2
57216.54717238 12.095 0.022 WISE_W1
57216.61275126 12.023 0.026 WISE_W1
57216.61275126 12.047 0.039 WISE_W2
57216.67845749 12.096 0.043 WISE_W2
57216.67845749 12.076 0.027 WISE_W1
57216.74403637 11.982 0.023 WISE_W1
57216.74403637 11.981 0.048 WISE_W2
57216.80961534 12.096 0.023 WISE_W1
57216.80961534 12.052 0.036 WISE_W2
57216.87519425 12.068 0.045 WISE_W2
57216.87519425 12.079 0.022 WISE_W1
57216.94077317 12.11 0.023 WISE_W1
57216.94077317 12.035 0.04 WISE_W2
57217.00647946 12.004 0.038 WISE_W2
57217.00647946 12.015 0.023 WISE_W1
57217.07205832 12.015 0.02 WISE_W1
57217.07205832 12.082 0.038 WISE_W2
57217.13763725 12.121 0.041 WISE_W2
57217.13763725 12.038 0.021 WISE_W1
57217.20321616 12.067 0.034 WISE_W2
57217.20321616 12.046 0.02 WISE_W1
57217.26879503 11.992 0.041 WISE_W2
57217.26879503 12.061 0.024 WISE_W1
57217.33450123 12.053 0.021 WISE_W1
57217.33450123 11.938 0.036 WISE_W2
57217.40008014 12.046 0.021 WISE_W1
57217.40008014 12.055 0.038 WISE_W2
57217.46565906 11.988 0.034 WISE_W2
57217.46565906 12.016 0.02 WISE_W1
57217.53123797 12.031 0.038 WISE_W2
57217.53123797 12.089 0.021 WISE_W1
57217.59681685 12.029 0.021 WISE_W1
57217.59681685 12.069 0.035 WISE_W2
57217.66252309 12.026 0.023 WISE_W1
57217.66252309 12.051 0.036 WISE_W2
57217.79368093 12.08 0.039 WISE_W2
57217.79368093 12.034 0.019 WISE_W1
57217.92483876 12.036 0.034 WISE_W2
57217.92483876 12.058 0.021 WISE_W1
57406.55981215 11.956 0.032 WISE_W2
57406.55981215 12.012 0.02 WISE_W1
57406.6909708 12.049 0.021 WISE_W1
57406.6909708 11.978 0.032 WISE_W2
57406.82200199 12.003 0.021 WISE_W1
57406.82200199 12.031 0.034 WISE_W2
57406.88758131 11.999 0.02 WISE_W1
57406.88758131 12.026 0.034 WISE_W2
57406.95316064 12.071 0.039 WISE_W2
57406.95316064 12.028 0.022 WISE_W1
57407.01873473 12.055 0.033 WISE_W2
57407.01873473 12.035 0.021 WISE_W1
57407.08431397 12.114 0.022 WISE_W1
57407.08431397 12.073 0.04 WISE_W2
57407.21534516 12.142 0.034 WISE_W2
57407.21534516 11.997 0.025 WISE_W1
57407.28092434 11.943 0.041 WISE_W2
57407.28092434 12.063 0.02 WISE_W1
57407.34650362 12.051 0.02 WISE_W1
57407.34650362 12.051 0.036 WISE_W2
57407.4120829 12.023 0.036 WISE_W2
57407.4120829 12.117 0.022 WISE_W1
57407.54324141 12.022 0.022 WISE_W1
57407.54324141 12.061 0.035 WISE_W2
57407.60869332 12.11 0.037 WISE_W2
57407.60869332 11.929 0.027 WISE_W1
57407.6742726 12.048 0.022 WISE_W1
57407.6742726 12.042 0.033 WISE_W2
57407.80543111 11.991 0.034 WISE_W2
57407.80543111 11.888 0.028 WISE_W1
57407.93658962 12.043 0.024 WISE_W1
57407.93658962 12.018 0.037 WISE_W2
57408.06762081 11.982 0.035 WISE_W2
57408.06762081 11.997 0.024 WISE_W1
57575.03443573 12.037 0.041 WISE_W2
57575.03443573 12.055 0.023 WISE_W1
57575.16546625 12.038 0.025 WISE_W1
57575.16546625 12.137 0.044 WISE_W2
57575.29649683 12.068 0.023 WISE_W1
57575.29649683 12.196 0.051 WISE_W2
57575.42752736 12.053 0.04 WISE_W2
57575.42752736 11.905 0.025 WISE_W1
57575.49310628 12.131 0.047 WISE_W2
57575.49310628 11.882 0.026 WISE_W1
57575.55855788 12.02 0.022 WISE_W1
57575.55855788 12.036 0.036 WISE_W2
57575.62413681 12.011 0.039 WISE_W2
57575.62413681 12.015 0.025 WISE_W1
57575.68958846 12.052 0.022 WISE_W1
57575.68958846 12.182 0.054 WISE_W2
57575.75504012 11.984 0.033 WISE_W2
57575.75504012 12.015 0.026 WISE_W1
57575.75516743 12.099 0.045 WISE_W2
57575.75516743 12.012 0.025 WISE_W1
57575.82061904 12.084 0.041 WISE_W2
