MJD mag magerr band
58292.306 17.3 0.01 Swift_B
58292.314 16.7 0.01 Johnson_V
58292.329 17.0 0.01 SDSS_g
58292.334 16.2 0.01 SDSS_i
58292.34 16.6 0.01 SDSS_r
58292.418 17.5 0.11 SDSS_g
58293.442 17.0 0.01 SDSS_g
58293.444 16.2 0.01 SDSS_i
58293.446 17.2 0.02 Swift_B
58293.448 16.6 0.01 SDSS_r
58293.449 16.8 0.01 Johnson_V
58294.348 16.7 0.02 Johnson_V
58294.359 17.3 0.01 Swift_B
58294.367 16.8 0.01 Johnson_V
58294.382 17.1 0.01 SDSS_g
58294.389 16.2 0.01 SDSS_i
58294.394 16.6 0.01 SDSS_r
58295.399 16.5 0.01 SDSS_r
58295.405 16.1 0.02 SDSS_i
58295.432 17.3 0.01 Swift_B
58295.44 16.8 0.01 Johnson_V
58295.446 17.0 0.01 SDSS_g
58299.611 17.2 0.05 SDSS_g
58299.613 16.2 0.03 SDSS_i
58299.614 17.2 0.05 Swift_B
58299.617 16.6 0.06 SDSS_r
58299.619 16.9 0.06 Johnson_V
58305.058 17.2 0.05 Swift_U
58305.059 17.1 0.06 Swift_B
58305.061 16.7 0.08 Johnson_V
58305.095 17.0 0.02 SDSS_g
58305.097 16.2 0.02 SDSS_i
58305.099 17.1 0.02 Swift_B
58305.101 16.6 0.02 SDSS_r
58305.103 16.8 0.02 Johnson_V
58305.131 17.5 0.14 SDSS_g
58306.15 17.5 0.14 SDSS_g
58306.372 17.6 0.14 SDSS_g
58306.377 16.6 0.01 SDSS_r
58306.382 16.2 0.01 SDSS_i
58306.388 17.0 0.01 SDSS_g
58306.402 16.7 0.01 Johnson_V
58306.407 17.2 0.01 Swift_B
58307.139 17.5 0.12 SDSS_g
58308.128 17.5 0.13 SDSS_g
58308.345 16.5 0.01 SDSS_r
58308.351 16.1 0.01 SDSS_i
58308.358 17.0 0.01 SDSS_g
58308.372 16.7 0.01 Johnson_V
58308.379 17.2 0.01 Swift_B
58308.703 17.3 0.07 Swift_U
58308.703 17.1 0.09 Swift_B
58308.705 16.8 0.13 Johnson_V
58311.506 17.4 0.05 Swift_U
58311.506 17.1 0.06 Swift_B
58311.508 16.8 0.09 Johnson_V
58312.228 17.8 0.13 SDSS_g
58313.291 17.6 0.11 SDSS_g
58314.311 17.7 0.31 Johnson_V
58315.076 17.1 0.01 SDSS_g
58315.078 16.2 0.02 SDSS_i
58315.08 17.2 0.02 Swift_B
58315.082 16.7 0.02 SDSS_r
58315.084 16.8 0.01 Johnson_V
58315.311 16.6 0.01 SDSS_r
58315.341 16.8 0.01 Johnson_V
58315.348 17.3 0.01 Swift_B
58317.61 17.3 0.06 Swift_U
58317.611 17.1 0.07 Swift_B
58317.616 16.7 0.09 Johnson_V
58318.03 17.9 0.17 SDSS_g
58319.027 17.9 0.18 SDSS_g
58319.342 17.1 0.01 SDSS_g
58319.344 16.3 0.02 SDSS_i
58319.346 17.3 0.02 Swift_B
58319.348 16.6 0.01 SDSS_r
58319.35 16.9 0.01 Johnson_V
58320.038 17.7 0.15 SDSS_g
58320.672 17.5 0.07 Swift_U
58320.673 17.2 0.08 Swift_B
58324.313 17.3 0.06 Swift_B
58324.313 17.4 0.05 Swift_U
58324.315 16.9 0.09 Johnson_V
58326.894 17.8 0.14 SDSS_g
58326.916 17.4 0.06 Swift_U
58326.973 17.4 0.1 Swift_B
58326.977 16.7 0.12 Johnson_V
58328.286 16.5 0.01 SDSS_r
58328.292 16.2 0.01 SDSS_i
58328.297 17.0 0.01 SDSS_g
58331.559 17.1 0.09 Swift_B
58331.559 17.6 0.08 Swift_U
58331.563 17.0 0.15 Johnson_V
58332.273 17.1 0.02 SDSS_g
58332.275 16.3 0.01 SDSS_i
58332.277 17.4 0.02 Swift_B
58332.282 16.9 0.02 Johnson_V
58332.305 16.7 0.11 SDSS_r
58333.241 17.4 0.04 Swift_B
58333.248 16.8 0.01 Johnson_V
58333.256 17.1 0.01 SDSS_g
58333.264 16.2 0.01 SDSS_i
58333.272 16.6 0.01 SDSS_r
58334.529 17.7 0.28 Johnson_V
58336.256 17.9 0.42 Johnson_V
58339.031 18.0 0.17 SDSS_g
58339.295 18.0 0.44 Johnson_V
58340.728 17.5 0.06 Swift_U
58340.729 17.3 0.07 Swift_B
58340.733 16.7 0.09 Johnson_V
58343.022 18.0 0.14 SDSS_g
58343.223 16.6 0.01 SDSS_r
58343.231 16.2 0.01 SDSS_i
58343.238 17.1 0.01 SDSS_g
58343.246 16.8 0.01 Johnson_V
58343.257 17.3 0.01 Swift_B
58345.964 17.8 0.14 SDSS_g
58346.09 17.1 0.01 SDSS_g
58346.093 16.2 0.01 SDSS_i
58346.095 17.2 0.01 Swift_B
58346.097 16.6 0.01 SDSS_r
58346.099 16.8 0.01 Johnson_V
58347.105 17.8 0.18 SDSS_g
58347.286 18.1 0.42 Johnson_V
58347.955 17.7 0.12 SDSS_g
58348.161 16.6 0.01 SDSS_r
58348.169 16.2 0.01 SDSS_i
58348.177 17.1 0.01 SDSS_g
58348.186 16.8 0.01 Johnson_V
58348.196 17.3 0.01 Swift_B
58350.202 16.6 0.01 SDSS_r
58350.21 16.1 0.02 SDSS_i
58350.217 17.0 0.02 SDSS_g
58350.235 16.8 0.01 Johnson_V
58350.243 17.3 0.01 Swift_B
58350.826 17.4 0.05 Swift_U
58350.827 17.2 0.06 Swift_B
58350.83 16.8 0.09 Johnson_V
58352.287 17.1 0.01 SDSS_g
58352.289 16.2 0.01 SDSS_i
58352.291 17.3 0.02 Swift_B
58352.294 16.6 0.01 SDSS_r
58352.296 16.8 0.01 Johnson_V
58354.212 17.4 0.05 Swift_U
58354.212 17.1 0.06 Swift_B
58354.217 16.8 0.09 Johnson_V
58359.325 17.3 0.05 Swift_U
58359.325 17.1 0.06 Swift_B
58359.33 16.8 0.09 Johnson_V
58359.95 17.1 0.02 SDSS_g
58359.952 16.2 0.02 SDSS_i
58359.954 17.3 0.03 Swift_B
58359.957 16.6 0.02 SDSS_r
58359.959 16.8 0.02 Johnson_V
58362.384 17.1 0.07 Swift_B
58362.384 17.3 0.06 Swift_U
58362.387 16.8 0.1 Johnson_V
58363.222 16.5 0.01 SDSS_r
58363.229 16.1 0.02 SDSS_i
58363.237 17.0 0.01 SDSS_g
58363.246 16.7 0.01 Johnson_V
58363.254 17.2 0.01 Swift_B
58364.963 18.2 0.2 SDSS_g
58366.195 17.5 0.34 Johnson_V
58367.217 17.5 0.12 SDSS_g
58367.232 16.4 0.02 SDSS_r
58367.239 16.1 0.02 SDSS_i
58367.247 16.9 0.02 SDSS_g
58367.257 16.7 0.01 Johnson_V
58367.266 17.2 0.01 Swift_B
58369.297 17.0 0.01 SDSS_g
58369.299 16.2 0.01 SDSS_i
58369.301 17.2 0.01 Swift_B
58369.304 16.6 0.01 SDSS_r
58369.306 16.7 0.01 Johnson_V
58370.85 17.6 0.13 SDSS_g
58371.253 17.4 0.12 SDSS_g
58371.81 17.8 0.12 SDSS_g
58372.132 16.6 0.01 SDSS_r
58372.139 16.1 0.01 SDSS_i
58372.145 17.0 0.01 SDSS_g
58372.16 16.7 0.01 Johnson_V
58372.167 17.3 0.01 Swift_B
58374.261 17.0 0.09 SDSS_g
58374.264 16.1 0.1 SDSS_i
58374.266 17.3 0.09 Swift_B
58374.269 16.6 0.02 SDSS_r
58374.271 16.8 0.01 Johnson_V
58374.991 17.9 0.22 SDSS_g
58375.174 17.7 0.14 SDSS_g
58376.185 17.8 0.14 SDSS_g
58376.229 16.6 0.01 SDSS_r
58376.236 16.2 0.01 SDSS_i
58376.244 17.0 0.01 SDSS_g
58376.299 16.7 0.01 Johnson_V
58376.307 17.2 0.01 Swift_B
58378.214 16.6 0.01 SDSS_r
58378.218 16.2 0.01 SDSS_i
58378.223 17.1 0.01 SDSS_g
58378.366 17.3 0.22 Johnson_V
58378.846 17.5 0.08 Swift_U
58379.105 17.8 0.24 SDSS_g
58387.273 17.4 0.06 Swift_U
58387.274 17.1 0.07 Swift_B
58387.276 16.8 0.1 Johnson_V
58390.459 17.4 0.05 Swift_U
58390.46 17.3 0.07 Swift_B
58390.463 16.9 0.09 Johnson_V
58390.84 17.9 0.16 SDSS_g
58391.178 16.5 0.02 SDSS_r
58391.185 16.2 0.01 SDSS_i
58391.198 17.1 0.03 SDSS_g
58391.206 16.8 0.02 Johnson_V
58391.212 17.4 0.05 Swift_B
58391.353 17.6 0.27 Johnson_V
58392.566 17.1 0.01 SDSS_g
58392.568 16.2 0.01 SDSS_i
58392.57 17.3 0.01 Swift_B
58392.572 16.6 0.01 SDSS_r
58392.574 16.8 0.01 Johnson_V
58397.897 17.8 0.15 SDSS_g
58399.005 17.2 0.01 SDSS_g
58399.007 16.2 0.01 SDSS_i
58399.008 17.4 0.02 Swift_B
58399.011 16.6 0.01 SDSS_r
58399.013 16.9 0.01 Johnson_V
58404.092 16.6 0.01 SDSS_r
58404.102 16.2 0.01 SDSS_i
58404.109 17.1 0.01 SDSS_g
58404.116 16.8 0.01 Johnson_V
58404.123 17.4 0.01 Swift_B
58406.773 18.3 0.24 SDSS_g
58408.019 17.8 0.25 SDSS_g
58408.129 16.6 0.01 SDSS_r
58408.136 16.2 0.01 SDSS_i
58408.142 17.1 0.01 SDSS_g
58408.149 16.8 0.01 Johnson_V
58408.156 17.3 0.01 Swift_B
58410.085 16.8 0.02 Johnson_V
58417.063 16.9 0.02 Johnson_V
58419.15 17.5 0.01 Swift_B
58419.158 16.9 0.01 Johnson_V
58419.165 17.2 0.01 SDSS_g
58419.172 16.1 0.02 SDSS_i
58419.178 16.6 0.01 SDSS_r
58424.058 16.6 0.02 SDSS_r
58424.064 16.2 0.02 SDSS_i
58424.071 17.2 0.02 SDSS_g
58424.078 16.9 0.01 Johnson_V
58424.085 17.6 0.01 Swift_B
58424.795 19.0 0.33 SDSS_g
58428.062 17.3 0.01 SDSS_g
58428.065 16.3 0.01 SDSS_i
58428.067 17.5 0.01 Swift_B
58428.071 16.7 0.01 SDSS_r
58428.073 16.9 0.01 Johnson_V
58428.9 18.0 0.16 SDSS_g
58432.038 17.3 0.01 SDSS_g
58432.042 16.3 0.01 SDSS_i
58432.044 17.6 0.01 Swift_B
58432.048 16.7 0.01 SDSS_r
58432.05 17.0 0.01 Johnson_V
58434.218 18.1 0.42 Johnson_V
58436.29 17.6 0.09 Swift_U
58436.29 17.4 0.11 Swift_B
58439.047 16.7 0.02 SDSS_r
58440.052 16.9 0.02 Johnson_V
58440.82 17.3 0.13 Swift_B
58440.82 17.6 0.11 Swift_U
58440.823 16.9 0.18 Johnson_V
58441.026 16.6 0.02 SDSS_r
58441.032 16.2 0.02 SDSS_i
58441.038 17.2 0.02 SDSS_g
58441.045 16.9 0.01 Johnson_V
58441.052 17.5 0.01 Swift_B
58444.054 17.7 0.07 Swift_U
58444.055 17.3 0.08 Swift_B
58444.059 17.0 0.1 Johnson_V
58446.196 17.9 0.33 Johnson_V
58447.194 17.8 0.49 Johnson_V
58448.055 17.5 0.01 Swift_B
58448.063 16.9 0.01 Johnson_V
58448.075 17.2 0.01 SDSS_g
58448.079 16.3 0.01 SDSS_i
58448.083 16.7 0.01 SDSS_r
58448.173 17.4 0.08 Swift_B
58448.173 17.5 0.06 Swift_U
58448.178 16.9 0.1 Johnson_V
58449.071 18.1 0.16 SDSS_g
58452.854 17.2 0.02 SDSS_g
58452.858 16.3 0.03 SDSS_i
58452.86 17.4 0.02 Swift_B
58452.863 16.7 0.01 SDSS_r
58452.866 16.9 0.01 Johnson_V
58452.952 17.3 0.1 Swift_B
58452.952 17.5 0.07 Swift_U
58452.955 16.9 0.12 Johnson_V
58453.051 16.7 0.01 SDSS_r
58453.055 16.3 0.01 SDSS_i
58453.059 17.2 0.01 SDSS_g
58453.071 16.8 0.01 Johnson_V
58453.075 17.4 0.01 Swift_B
58454.078 17.9 0.17 SDSS_g
58461.055 18.1 0.2 SDSS_g
58462.014 16.5 0.03 SDSS_r
58462.019 16.2 0.02 SDSS_i
58462.024 17.2 0.01 SDSS_g
58462.038 16.8 0.01 Johnson_V
58462.043 17.4 0.01 Swift_B
58468.054 17.4 0.01 Swift_B
58468.061 16.8 0.01 Johnson_V
58468.068 17.2 0.01 SDSS_g
58468.074 16.2 0.02 SDSS_i
58468.08 16.7 0.01 SDSS_r
58471.048 16.9 0.03 Johnson_V
58473.029 16.5 0.02 SDSS_r
58473.036 16.1 0.02 SDSS_i
58473.042 17.1 0.02 SDSS_g
58473.062 16.8 0.01 Johnson_V
58473.069 17.4 0.01 Swift_B
58477.598 17.5 0.06 Swift_U
58477.598 17.4 0.09 Swift_B
58477.604 16.8 0.11 Johnson_V
58480.034 17.1 0.01 SDSS_g
58480.037 16.2 0.01 SDSS_i
58480.039 17.3 0.01 Swift_B
58480.043 16.7 0.01 SDSS_r
58480.045 16.8 0.01 Johnson_V
58481.71 17.6 0.07 Swift_U
58481.711 17.3 0.1 Swift_B
58481.716 16.9 0.13 Johnson_V
58484.036 16.6 0.01 SDSS_r
58484.043 16.2 0.01 SDSS_i
58484.05 17.1 0.01 SDSS_g
58485.426 17.5 0.07 Swift_U
58485.427 17.5 0.11 Swift_B
58485.43 16.6 0.1 Johnson_V
58489.088 17.5 0.07 Swift_U
58489.089 17.5 0.1 Swift_B
58489.093 16.8 0.12 Johnson_V
58584.147 18.5 0.38 SDSS_g
58585.147 18.4 0.39 SDSS_g
58589.4 16.7 0.01 SDSS_r
58589.407 16.3 0.02 SDSS_i
58597.659 17.9 0.08 Swift_U
58597.66 17.7 0.11 Swift_B
58597.662 17.0 0.13 Johnson_V
58601.418 16.7 0.02 SDSS_r
58605.362 19.0 0.53 SDSS_g
58605.371 18.0 0.13 Swift_U
58605.371 17.4 0.15 Swift_B
58605.374 17.1 0.24 Johnson_V
58606.38 19.1 0.51 SDSS_g
58606.435 17.6 0.14 Swift_B
58606.435 18.0 0.11 Swift_U
58606.437 17.2 0.21 Johnson_V
58607.361 18.4 0.3 SDSS_g
58608.418 16.7 0.01 SDSS_r
58614.101 18.4 0.3 SDSS_g
58615.101 18.6 0.35 SDSS_g
58616.334 18.5 0.38 SDSS_g
58616.846 18.1 0.09 Swift_U
58616.847 17.6 0.1 Swift_B
58616.851 17.0 0.13 Johnson_V
58621.035 18.1 0.09 Swift_U
58621.036 17.7 0.1 Swift_B
58621.04 17.1 0.12 Johnson_V
58626.418 18.2 0.09 Swift_U
58626.419 17.8 0.11 Swift_B
58626.423 16.9 0.11 Johnson_V
58631.719 18.1 0.07 Swift_U
58631.72 17.7 0.09 Swift_B
58631.726 17.0 0.1 Johnson_V
58636.331 16.8 0.01 SDSS_r
58636.339 16.3 0.02 SDSS_i
58636.347 17.4 0.02 SDSS_g
58636.7 18.0 0.07 Swift_U
58636.701 17.7 0.09 Swift_B
58636.707 17.2 0.12 Johnson_V
58641.619 18.1 0.07 Swift_U
58641.62 17.7 0.08 Swift_B
58641.624 17.1 0.11 Johnson_V
58646.996 17.5 0.17 Swift_B
58646.996 18.1 0.16 Swift_U
58646.998 17.2 0.25 Johnson_V
58651.438 18.2 0.08 Swift_U
58651.439 17.8 0.09 Swift_B
58651.442 17.1 0.11 Johnson_V
58660.251 16.8 0.01 SDSS_r
58660.258 16.3 0.02 SDSS_i
58660.266 17.4 0.01 SDSS_g
58661.401 18.0 0.08 Swift_U
58661.402 17.6 0.09 Swift_B
58661.405 17.0 0.12 Johnson_V
