 MJD mag magerr band
0 58580.638 19.788675505056496 0.10522262685029915 ATLAS_c
0 58600.638 19.770849904024328 0.2208956152622168 ATLAS_c
0 58620.638 19.743105420796063 0.04723570111175057 ATLAS_c
0 58640.638 19.655048094893942 0.1043784381958428 ATLAS_c
0 58660.638 19.391496317368222 0.15485485420943235 ATLAS_c
0 58700.638 19.179562581428957 0.2506627464858475 ATLAS_c
0 58720.638 19.108420485777504 0.06192289860691247 ATLAS_c
0 58760.638 18.975543663951512 0.08419163925331041 ATLAS_c
0 58780.638 18.84085230922315 0.0951749911398565 ATLAS_c
0 58800.638 18.359486103874524 0.10259837112425707 ATLAS_c
0 58880.638 18.573773566179398 0.008039734074753113 ATLAS_c
0 58920.638 18.912727920340124 0.0785883384344146 ATLAS_c
0 58960.638 18.80207520969281 0.1874064206596664 ATLAS_c
0 58980.638 18.79385448389629 0.10504390264229002 ATLAS_c
0 59000.638 18.723995922781985 0.29171712170343334 ATLAS_c
0 59020.638 18.69224150864818 0.08960556345767046 ATLAS_c
0 59040.638 18.586396860729934 0.04963453390971395 ATLAS_c
0 59060.638 18.6127286962977 0.129233917117487 ATLAS_c
0 59080.638 18.575434075733405 0.12269902409098954 ATLAS_c
0 59100.638 18.57055061420901 0.06881279448995059 ATLAS_c
0 59120.638 18.612853250685053 0.11403232896590687 ATLAS_c
0 59140.638 18.449007707794912 0.12063199064025731 ATLAS_c
0 59260.638 18.53266284691828 0.19087133694534586 ATLAS_c
0 59320.638 18.46890080577741 0.06652499094840891 ATLAS_c
0 59340.638 18.601179740148112 0.04461732435609811 ATLAS_c
0 59360.638 18.50587577542184 0.020249481618266785 ATLAS_c
0 59380.638 18.543218097915435 0.07788180575492376 ATLAS_c
0 59400.638 18.611487688791954 0.19865989358803482 ATLAS_c
0 59420.638 18.77824253038863 0.06296983278433288 ATLAS_c
0 59440.638 18.61370986710629 0.08531169523796756 ATLAS_c
0 59460.638 18.66140136468339 0.08775165934768125 ATLAS_c
0 59520.638 18.812129900467944 0.13743496430463154 ATLAS_c
0 59620.638 19.01204673767058 0.1637365715865542 ATLAS_c
0 59640.638 19.068800988694314 0.19496201766687982 ATLAS_c
0 59660.638 19.157650695616905 0.12262487853579529 ATLAS_c
0 59680.638 19.1001620381315 0.1368933156270593 ATLAS_c
0 59700.638 19.128920508804825 0.16575378974740218 ATLAS_c
0 59720.638 19.19505307331311 0.2560150827567096 ATLAS_c
0 59740.638 19.14571451213677 0.20640447168497644 ATLAS_c
0 59760.638 19.14346554878852 0.17078503330648687 ATLAS_c
0 59780.638 19.19518908422985 0.1893406235494446 ATLAS_c
0 59800.638 19.248058582949785 0.19556819926232372 ATLAS_c
0 59820.638 19.41433398317453 0.18149508567357486 ATLAS_c
0 59840.638 19.380512336995015 0.16990977940788454 ATLAS_c
0 59860.638 19.318574104160557 0.19929173343940754 ATLAS_c
0 59900.638 19.63778982387732 0.22360929860452217 ATLAS_c
0 60040.638 19.67778392733628 0.231946058900947 ATLAS_c
0 60060.638 19.74184349251761 0.16224867241035312 ATLAS_c
0 60080.638 19.74225701574815 0.19362856138879891 ATLAS_c
0 60100.638 19.41774242119711 0.25851331455613114 ATLAS_c
0 60120.638 19.865891071657646 0.27445621497803074 ATLAS_c
0 60140.638 19.815477677053128 0.14739742546225187 ATLAS_c
0 60180.638 20.027257445926683 0.15820058632175105 ATLAS_c
0 60200.638 19.928071882669357 0.2024945551668882 ATLAS_c
0 58346.419 19.86804035820066 0.0 ATLAS_o
0 58606.419 19.61871714143298 0.10444427067578488 ATLAS_o
0 58626.419 19.692599157754465 0.26000183447811054 ATLAS_o
0 58646.419 19.70073859928337 0.38100880940581305 ATLAS_o
0 58666.419 19.531236475247375 0.1939902731118437 ATLAS_o
0 58686.419 19.433229757566938 0.3483182650330807 ATLAS_o
0 58706.419 19.1859025842619 0.21120444901001 ATLAS_o
0 58726.419 19.114238119412896 0.13920548445365455 ATLAS_o
0 58746.419 19.102693212984963 0.2596492970298723 ATLAS_o
0 58766.419 18.946161914990753 0.1862852976449929 ATLAS_o
0 58786.419 18.809287795565815 0.08805381003009494 ATLAS_o
0 58806.419 18.744222149362056 0.04706033745895333 ATLAS_o
0 58886.419 18.462721651743003 0.10403772736995265 ATLAS_o
0 58906.419 18.684536759855895 0.1014922023353595 ATLAS_o
0 58926.419 18.617679236430398 0.1360635925840672 ATLAS_o
0 58966.419 18.547199255406763 0.12022534442650468 ATLAS_o
0 58986.419 18.489862786662716 0.15911505279884608 ATLAS_o
0 59006.419 18.42331352851331 0.13970675420469902 ATLAS_o
0 59026.419 18.38837016193085 0.1438465480740696 ATLAS_o
0 59046.419 18.307694709843695 0.0922309902116325 ATLAS_o
0 59066.419 18.263004848844073 0.11609233378342587 ATLAS_o
0 59086.419 18.3078978101476 0.12307676093511866 ATLAS_o
0 59106.419 18.270296172045192 0.10436072385742712 ATLAS_o
0 59126.419 18.272144993458383 0.0901159171872834 ATLAS_o
0 59146.419 18.25367733887473 0.10846991395644068 ATLAS_o
0 59166.419 18.157300643875125 0.06979287963174485 ATLAS_o
0 59246.419 18.289999065486466 0.02953396426416255 ATLAS_o
0 59266.419 18.231725087850492 0.06762127062504675 ATLAS_o
0 59286.419 18.215583986914083 0.05776806407398816 ATLAS_o
0 59306.419 18.228110187280368 0.11114964247220982 ATLAS_o
0 59326.419 18.243853121318658 0.14314757993947858 ATLAS_o
0 59346.419 18.271335654745464 0.09447990549729113 ATLAS_o
0 59366.419 18.241184689186206 0.10066472438210106 ATLAS_o
0 59386.419 18.272598626733632 0.1289745664540085 ATLAS_o
0 59406.419 18.280631869693387 0.1224499866779194 ATLAS_o
0 59426.419 18.379356270424033 0.0965012445368334 ATLAS_o
0 59446.419 18.366972754538118 0.12524837738301287 ATLAS_o
0 59466.419 18.40801673718956 0.12507974200975447 ATLAS_o
0 59486.419 18.4136235490634 0.13238311013417103 ATLAS_o
0 59506.419 18.379806268030315 0.11297062518827516 ATLAS_o
0 59526.419 18.48804902315257 0.1417045336661591 ATLAS_o
0 59546.419 18.41536282161447 0.11260458915086424 ATLAS_o
0 59606.419 18.488202419788482 0.17783385510644578 ATLAS_o
0 59626.419 18.62936605439647 0.19796212755887588 ATLAS_o
0 59666.419 18.644231932122313 0.19243971389672687 ATLAS_o
0 59686.419 18.684965756497167 0.27268582070652947 ATLAS_o
0 59706.419 18.684535178586888 0.16849818866948318 ATLAS_o
0 59726.419 18.71675629872272 0.16483049501684377 ATLAS_o
0 59746.419 18.68556954065491 0.21380224336133224 ATLAS_o
0 59766.419 18.724694084052828 0.18006277941286442 ATLAS_o
0 59786.419 18.737705157648108 0.16880923075454923 ATLAS_o
0 59806.419 18.84922048838979 0.1883501838051398 ATLAS_o
0 59826.419 18.853153938114612 0.20217966058895698 ATLAS_o
0 59846.419 18.894560616151153 0.19991645378706657 ATLAS_o
0 59866.419 18.89122070795317 0.19789279204425014 ATLAS_o
0 59886.419 18.99203697139427 0.2697157611075536 ATLAS_o
0 59906.419 18.90555796885761 0.22328588907889468 ATLAS_o
0 59966.419 19.115465369040706 0.0 ATLAS_o
0 60046.419 19.102298663973766 0.40977967677464555 ATLAS_o
0 60066.419 18.893331149627095 0.1898845906522162 ATLAS_o
0 60086.419 19.1824693106173 0.20943818119115853 ATLAS_o
0 60106.419 19.22411120158492 0.18038710076042364 ATLAS_o
0 60126.419 19.154956641777865 0.19832063772806485 ATLAS_o
0 60146.419 19.264597027775405 0.18665276173696022 ATLAS_o
0 60166.419 19.336807060213243 0.17360452375554658 ATLAS_o
0 60186.419 19.226224797430845 0.4124750635546697 ATLAS_o
0 60206.419 19.212251697816882 0.30403637415581564 ATLAS_o
0 59421.465068387 18.3934 0.0793688 PS_i
0 59421.4529451107 18.3934 0.0629437 PS_i
0 59421.44089917 18.4395 0.0811879 PS_i
0 59421.4287939891 18.4574 0.0826501 PS_i
0 59115.2998452498 18.3622 0.0470932 PS_i
0 59115.2882876 18.3288 0.043993 PS_i
0 59115.2767921818 18.3078 0.0458869 PS_i
0 59115.265319698 18.3206 0.0471509 PS_i
0 59069.4296759676 18.4939 0.0932276 PS_i
0 59069.4290391196 18.3773 0.0968546 PS_i
0 59069.416821186 18.4633 0.0652243 PS_i
0 59069.4161845209 18.3738 0.11983 PS_i
0 59069.4039983099 18.4266 0.0949546 PS_i
0 59069.4033617961 18.4455 0.109486 PS_i
0 59069.3911447818 18.3963 0.118965 PS_i
0 59039.5146139189 18.392 0.067341 PS_i
0 59039.5033552511 18.3623 0.0664575 PS_i
0 59039.4920846011 18.3619 0.0627807 PS_i
0 59039.4808670989 18.459 0.074325 PS_i
0 59003.592371271 18.5414 0.0574032 PS_i
0 59003.5812412309 18.5397 0.0576483 PS_i
0 59003.5701490608 18.5748 0.0514254 PS_i
0 59003.5590543879 18.4961 0.0667486 PS_i
0 58743.3234477569 19.8876 0.173721 PS_i
0 58743.3117651724 19.7905 0.195437 PS_i
0 58743.3002039026 19.8369 0.205382 PS_i
0 58743.2886726833 19.6942 0.136587 PS_i
0 60196.2785962905 18.8668 0.0173363 PS_w
0 60196.2686399791 18.9219 0.01966 PS_w
0 60196.2586291485 18.9796 0.0270139 PS_w
0 60196.2485664311 18.9614 0.0293619 PS_w
0 60192.2947261962 19.1537 0.0560668 PS_w
0 60192.2893532912 19.0346 0.0281439 PS_w
0 60192.2818003227 18.9821 0.0247739 PS_w
0 60148.2951593342 19.0351 0.0404359 PS_w
0 60148.2808908271 19.0138 0.0399949 PS_w
0 60148.2661979818 19.0351 0.04522 PS_w
0 60134.3824086999 18.8758 0.0352517 PS_w
0 60134.3694228347 19.0373 0.123997 PS_w
0 60134.3565027766 18.9931 0.0379483 PS_w
0 60134.3437405721 18.9292 0.0390865 PS_w
